as_at,basis,backlog,oldest_days,median_days,over_1_year,over_5_years
2003-01-31,reconstructed,52,2467,222,23,1
2003-02-28,reconstructed,48,2495,247,20,1
2003-03-31,reconstructed,43,2526,224,16,1
2003-04-30,reconstructed,43,2556,254,16,1
2003-05-31,reconstructed,40,1200,265,14,0
2003-06-30,reconstructed,37,1230,279,14,0
2003-07-31,reconstructed,37,1261,310,14,0
2003-08-31,reconstructed,35,1292,314,16,0
2003-09-30,reconstructed,37,1322,342,16,0
2003-10-31,reconstructed,36,1353,326,16,0
2003-11-30,reconstructed,35,1383,201,15,0
2003-12-31,reconstructed,43,1414,141,17,0
2004-01-31,reconstructed,43,1445,172,17,0
2004-02-29,reconstructed,43,1474,193,16,0
2004-03-31,reconstructed,47,1505,195,15,0
2004-04-30,reconstructed,47,1535,225,15,0
2004-05-31,reconstructed,42,1566,231,13,0
2004-06-30,reconstructed,49,1596,212,12,0
2004-07-31,reconstructed,49,1627,243,12,0
2004-08-31,reconstructed,58,1658,166,15,0
2004-09-30,reconstructed,58,1688,196,16,0
2004-10-31,reconstructed,58,1719,228,20,0
2004-11-30,reconstructed,61,1749,246,21,0
2004-12-31,reconstructed,56,1780,276,24,0
2005-01-31,reconstructed,56,1811,307,24,0
2005-02-28,reconstructed,56,1839,296,23,1
2005-03-31,reconstructed,57,1870,283,24,1
2005-04-30,reconstructed,57,1900,313,25,1
2005-05-31,reconstructed,56,1931,344,25,1
2005-06-30,reconstructed,62,1961,331,30,2
2005-07-31,reconstructed,62,1992,362,30,2
2005-08-31,reconstructed,62,2023,392,36,2
2005-09-30,reconstructed,60,2053,418,33,2
2005-10-31,reconstructed,63,2084,427,32,2
2005-11-30,reconstructed,58,2114,280,27,2
2005-12-31,reconstructed,56,2145,196,25,2
2006-01-31,reconstructed,56,2176,227,25,2
2006-02-28,reconstructed,54,2204,252,22,2
2006-03-31,reconstructed,52,2235,281,22,3
2006-04-30,reconstructed,52,2265,311,22,3
2006-05-31,reconstructed,51,2296,342,21,3
